"","species","qtd"
"625","Microplumeria anomala",0
"626","Molongum laxum",0
"627","Molongum lucidum",0
"628","Molongum zschokkeiforme",0
"629","Mucoa duckei",0
"630","Neocouma parviflora",0
"631","Neocouma ternstroemiacea",0
"632","Nephradenia linearis",0
"633","Nephradenia reflexa",0
"634","Odontadenia funigera",0
"635","Odontadenia geminata",0
"636","Odontadenia glauca",0
"637","Odontadenia hypoglauca",0
"638","Odontadenia killipii",0
"639","Odontadenia kochii",0
"640","Odontadenia laxiflora",0
"641","Odontadenia lutea",0
"642","Odontadenia macrantha",0
"643","Odontadenia markgrafiana",0
"644","Odontadenia nitida",1
"645","Odontadenia perrottetii",0
"646","Odontadenia puncticulosa",0
"647","Odontadenia stemmadeniifolia",0
"648","Odontadenia verrucosa",0
"649","Oxypetalum albicans",0
"650","Pacouria boliviensis",0
"651","Pacouria guianensis",0
"652","Pacouria paraensis",0
"653","Parahancornia amara",0
"654","Parahancornia fasciculata",2
"655","Parahancornia krukovii",0
"656","Parahancornia negroensis",0
"657","Parahancornia oblonga",0
"658","Parahancornia peruviana",0
"659","Parahancornia surrogata",0
"660","Petalostelma bracteolatum",0
"661","Phaeostemma surinamense",0
"662","Prestonia acrensis",0
"663","Prestonia amazonica",0
"664","Prestonia annularis",0
"665","Prestonia cayennensis",0
"666","Prestonia coalita",0
"667","Prestonia denticulata",0
"668","Prestonia lindleyana",0
"669","Prestonia macroneura",0
"670","Prestonia megagros",0
"671","Prestonia plumierifolia",0
"672","Prestonia quinquangularis",0
"673","Prestonia surinamensis",0
"674","Prestonia tomentosa",0
"675","Prestonia trifida",0
"676","Prestonia vaupesana",0
"677","Rauvolfia andina",0
"678","Rauvolfia macrantha",0
"679","Rauvolfia paraensis",0
"680","Rauvolfia pentaphylla",0
"681","Rauvolfia polyphylla",0
"682","Rauvolfia praecox",0
"683","Rauvolfia sprucei",0
"684","Rhabdadenia biflora",0
"685","Rhabdadenia madida",0
"686","Rhigospira quadrangularis",0
"687","Rhytidostemma fontellanum",0
"688","Secondatia densiflora",0
"689","Secondatia duckei",0
"690","Secondatia schlimiana",0
"691","Spongiosperma cataractarum",0
"692","Spongiosperma grandiflorum",0
"693","Spongiosperma longilobum",0
"694","Spongiosperma macrophyllum",0
"695","Spongiosperma oleifolium",0
"696","Spongiosperma riparium",0
"697","Stenomeria decalepis",0
"698","Tabernaemontana albiflora",0
"699","Tabernaemontana angulata",1
"700","Tabernaemontana brasiliensis",0
"701","Tabernaemontana cerea",0
"702","Tabernaemontana coriacea",0
"703","Tabernaemontana cumata",0
"704","Tabernaemontana cuspidata",0
"705","Tabernaemontana cymosa",0
"706","Tabernaemontana disticha",0
"707","Tabernaemontana flavicans",0
"708","Tabernaemontana grandiflora",0
"709","Tabernaemontana heterophylla",0
"710","Tabernaemontana lagenaria",0
"711","Tabernaemontana linkii",0
"712","Tabernaemontana lorifera",0
"713","Tabernaemontana macrocalyx",0
"714","Tabernaemontana markgrafiana",0
"715","Tabernaemontana maxima",0
"716","Tabernaemontana muricata",0
"717","Tabernaemontana palustris",0
"718","Tabernaemontana rupicola",1
"719","Tabernaemontana sananho",0
"720","Tabernaemontana siphilitica",0
"721","Tabernaemontana undulata",1
"722","Tabernaemontana vanheurckii",0
"723","Tassadia aristata",0
"724","Tassadia berteroana",0
"725","Tassadia capitata",0
"726","Tassadia guianensis",0
"727","Tassadia leptobotrys",0
"728","Tassadia martiana",0
"729","Tassadia medinae",0
"730","Tassadia milanezii",0
"731","Tassadia obovata",0
"732","Tassadia ovalifolia",0
"733","Tassadia propinqua",0
"734","Tassadia stricta",0
"735","Tassadia trailiana",0
"736","Telminostelma corymbosum",0
"737","Temnadenia ornata",0
"738","Thevetia ahouai",0
"739","Thevetia peruviana",0
"740","Alloschemone occidentalis",0
"741","Alocasia macrorrhizos",0
"742","Alocasia plumbea",0
"743","Anaphyllopsis americana",0
"744","Anaphyllopsis cururuana",0
"745","Anthurium affine",0
"746","Anthurium apaporanum",0
"747","Anthurium asplundii",0
"748","Anthurium atropurpureum",0
"749","Anthurium bakeri",0
"750","Anthurium basirotundum",0
"751","Anthurium beckii",0
"752","Anthurium besseae",0
"753","Anthurium bonplandii",0
"754","Anthurium brevipedunculatum",0
"755","Anthurium breviscapum",0
"756","Anthurium brevispadix",0
"757","Anthurium cainarachense",0
"758","Anthurium cataniapoense",0
"759","Anthurium clavigerum",0
"760","Anthurium conjunctum",0
"761","Anthurium corallinum",0
"762","Anthurium cowanii",0
"763","Anthurium crassinervium",0
"764","Anthurium cremersii",0
"765","Anthurium croatii",0
"766","Anthurium curicuriariense",0
"767","Anthurium curtispadix",0
"768","Anthurium decurrens",0
"769","Anthurium dombeyanum",0
"770","Anthurium eminens",1
"771","Anthurium ernestii",0
