Authors;Title;Year;Affiliations;Author Keywords
SILVA A.B.D., BORGES V.J.;Critérios estruturais da arquitetura da informação em bibliotecas digitais infantis;2018;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Arquitetura da informação; Biliotecas digitais; Bibliotecas digitais infantis"
SENA M.L.S., MARQUEZ S.O.M.;Levantamentos científicos e culturais existentes na biblioteca escolar do Sesc Balneário;2018;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Biblioteca escolar; Atividades culturais; Sesc Balneário"
ARAÚJO L.D.S., CAVALCANTE K.V.;O mestre das crônicas de gelo e fogo: paralelo com as origens do profissional bibliotecário;2019;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Origem dos bibliotecários; Meistres; Crônicas de gelo e fogo"
LEÃO H.R.P.D., BORGES V.J.;A inteligência competitiva aplicada nas bibliotecas especializadas;2019;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Bibliotecas especializadas; Inteligência competitiva; Levantamento informacional"
CARDOSO C.S., INOMATA D.O.;Avaliação da satisfação do usuário em relação ao catálogo on-line da Biblioteca do Instituto Nacional de Pesquisas da Amazônia - INPA;2019;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Catálogo on-line; Satisfação do usuário; Qualidade em serviços; INPA"
TEIXEIRA K.W.M., LIMA R.M.D.;Contribuições da Biblioteca Braille do Amazonas à formação cultural dos deficientes visuais;2019;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Biblioteca pública do Amazonas; Biblioteca Braille do Amazonas; Estudo de usuários; deficientes visuais"
CARVALHO M.A.D., INOMATA D.O.;Qualidade em serviços: análise do serviço de referência na Biblioteca Setorial do Setor Norte da Universidade Federal do Amazonas - UFAM;2019;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Qualidade em serviço; Serviço de referência; Determinantes de qualidade em bibliotecas"
PAULA M.M.D., INOMATA D.O.;Conhecimentos, habilidades e atitudes do modernos profissional nos novos mercados com ênfase na atuação em empresas;2019;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Biblioteconomia; Novos mercados; Atuação em empresas; CHA; Moderno profissional da informação"
JACOME P.D.O.S., TERRA G.D.M.;O bibliotecário como profissional da informação;2019;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Bibliotecário; Profissional da informação; Áreas de atuação"
MONTE Á.P.A., BOTELHO D.E.;Literatura infantil como instrumento de incentivo à leitura na biblioteca escolar;2019;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Incentivo à leitura; Biblioteca escolar; Literatuta infantil"
BRITO T.F., CAVALCANTE K.V.;Análise da arquitetura da informação nos sites das bibliotecas das universidades federais da região Norte;2019;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Arquitetura da informação; Sites de bibliotecas; Biblioteca universitária; Espaços virtuais"
CAMPOS S.H.D.C., SIQUEIRA T.G.D.S.;O processo de indexação e a descrição das fotografias do Jornal A Crítica: programa Photo Browser;2019;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Indexação; Resumos; Fotografia; Banco de dados de imagem"
SOUZA A.N.D., INOMATA D.O.;Bibliotecários e o mercado de trabalho na modernidade: um estudo analítico da inserção profissional dos egressos dos anos 2015, 2016 e 2017 do curso de Biblioteconomia da Universidade Federal do Amazonas;2019;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Mercado de trabalho; Egressos; Bibliotecários - profissional da informação"
BATISTA A.F., SIQUEIRA T.G.D.S.;Competências bibliotecárias no âmbito da biblioteca universitária da Universidade Federal do Amazonas;2019;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Competências; Bibliotecário; Biblioteca universitária; Capacitação; Treinamentos; serviço de referência"
SUASSUNA H.H.S.C., TERRA G.D.M.;Repositório institucional do IFAM: um estudo sobre seu vocabulário controlado;2019;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Linguagem documentária; Vocabulário controlado; Repositórios institucionais; Repositório- IFAM"
SMITH M.A.C.D.S., FERNANDES T.B.;Marketing aplicado a unidades de informação: apresentação de casos;2013;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Biblioteconomia; Marketing; Unidades de informação"
SILVA M.F.D., FERNANDES T.B.;Desenvolvimento de coleções: um estudo em biblioteca universitária;2013;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Biblioteca universitária; Desenvolvimento de coleções"
PINHEIRO K.C.D.S., FERNANDES T.B.;Perfil do usuário e demanda informacional: um estudo em biblioteca especializada;2013;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Perfil do usuário; Demanda informacional; Biblioteca especializada"
